Id,Time[ns],0:SPI: MISO data
732,27659579500.00,1
733,27659587500.00,230
734,27659595500.00,255
735,27659603500.00,127
736,27659611500.00,255
737,27659619500.00,42
738,27659627500.00,1
739,27659635500.00,238
740,27659643500.00,255
741,27659651500.00,162
742,27659659500.00,1
743,27659667500.00,243
744,27659675500.00,0
745,27659683500.00,135
746,27659691500.00,254
747,27659699500.00,71
748,27659707500.00,127
749,27659715500.00,158
750,27659723500.00,254
751,27659731500.00,56
752,27659739500.00,129
753,27659747500.00,146
754,27659755500.00,1
755,27659763500.00,223
756,27659771500.00,126
757,27659779500.00,152
758,27659787500.00,1
759,27659795500.00,203
760,27659803500.00,0
761,27659811500.00,176
762,27659819500.00,1
763,27659827500.00,35
764,27659835500.00,255
765,27659843500.00,76
766,27659851500.00,1
767,27659859500.00,94
768,27659867500.00,254
769,27659875500.00,74
770,27659883500.00,255
771,27659891500.00,101
772,27659899500.00,0
773,27659907500.00,86
774,27659915500.00,0
775,27659923500.00,100
776,27659931500.00,0
777,27659939500.00,238
778,27659947500.00,0
779,27659955500.00,220
780,27659963500.00,255
781,27659971500.00,90
782,27659979500.00,254
783,27659987500.00,23
784,27659995500.00,0
785,27660003500.00,191
786,27660011500.00,254
787,27660019500.00,110
788,27660027500.00,255
789,27660035500.00,99
790,27660043500.00,254
791,27660051500.00,85
792,27660059500.00,255
793,27660067500.00,167
794,27660075500.00,0
795,27660083500.00,221
796,27660091500.00,1
797,27660099500.00,124
798,27660107500.00,254
799,27660115500.00,78
800,27660123500.00,255
801,27660131500.00,86
802,27660139500.00,1
803,27660147500.00,164
804,27660155500.00,1
805,27660163500.00,115
806,27660171500.00,255
807,27660179500.00,212
808,27660187500.00,1
809,27660195500.00,91
810,27660203500.00,255
811,27660211500.00,93
812,27660219500.00,254
813,27660227500.00,84
814,27660235500.00,0
815,27660243500.00,194
816,27660251500.00,1
817,27660259500.00,72
818,27660267500.00,1
819,27660275500.00,237
820,27660283500.00,255
821,27660291500.00,251
822,27660299500.00,254
823,27660307500.00,248
824,27660315500.00,1
825,27660323500.00,120
826,27660331500.00,0
827,27660339500.00,138
828,27660347500.00,1
829,27660355500.00,215
830,27660363500.00,255
831,27660371500.00,64
832,27660379500.00,0
833,27660387500.00,190
834,27660395500.00,0
835,27660403500.00,177
836,27660411500.00,255
837,27660419500.00,132
838,27660427500.00,254
839,27660435500.00,107
840,27660443500.00,254
841,27660451500.00,254
842,27660459500.00,1
843,27660467500.00,1
844,27660475500.00,1
845,27660483500.00,87
846,27660491500.00,254
847,27660499500.00,181
848,27660507500.00,255
849,27660515500.00,223
850,27660523500.00,254
851,27660531500.00,140
852,27660539500.00,1
853,27660547500.00,0
854,27660555500.00,1
855,27660563500.00,41
856,27660571500.00,255
857,27660579500.00,84
858,27660587500.00,0
859,27660595500.00,243
860,27660603500.00,1
861,27660611500.00,110
862,27660619500.00,255
863,27660627500.00,145
864,27660635500.00,255
865,27660643500.00,58
866,27660651500.00,1
867,27660659500.00,244
868,27660667500.00,1
869,27660675500.00,244
870,27660683500.00,1
871,27660691500.00,173
872,27660699500.00,255
873,27660707500.00,181
874,27660715500.00,255
875,27660723500.00,163
876,27660731500.00,255
877,27660739500.00,247
878,27660747500.00,255
879,27660755500.00,212
880,27660763500.00,128
881,27660771500.00,229
882,27660779500.00,0
883,27660787500.00,151
884,27660795500.00,127
885,27660803500.00,90
886,27660811500.00,255
887,27660819500.00,252
888,27660827500.00,1
889,27660835500.00,248
890,27660843500.00,1
891,27660851500.00,172
892,27660859500.00,1
893,27660867500.00,95
894,27660875500.00,255
895,27660883500.00,7
896,27660891500.00,254
897,27660899500.00,12
898,27660907500.00,1
899,27660915500.00,43
900,27660923500.00,255
901,27660931500.00,222
902,27660939500.00,255
903,27660947500.00,226
904,27660955500.00,1
905,27660963500.00,68
906,27660971500.00,128
907,27660979500.00,233
908,27660987500.00,255
909,27660995500.00,152
910,27661003500.00,255
911,27661011500.00,201
912,27661019500.00,1
913,27661027500.00,202
914,27661035500.00,1
915,27661043500.00,201
916,27661051500.00,255
917,27661059500.00,129
918,27661067500.00,255
919,27661075500.00,148
920,27661083500.00,0
921,27661091500.00,121
922,27661099500.00,0
923,27661107500.00,197
924,27661115500.00,255
925,27661123500.00,35
926,27661131500.00,255
927,27661139500.00,174
928,27661147500.00,0
929,27661155500.00,117
930,27661163500.00,254
931,27661171500.00,199
932,27661179500.00,255
933,27661187500.00,45
934,27661195500.00,0
935,27661203500.00,21
936,27661211500.00,255
937,27661219500.00,82
938,27661227500.00,255
939,27661235500.00,2
940,27661243500.00,1
941,27661251500.00,210
942,27661259500.00,1
943,27661267500.00,202
944,27661275500.00,1
945,27661283500.00,96
946,27661291500.00,1
947,27661299500.00,184
948,27661307500.00,1
949,27661315500.00,130
950,27661323500.00,0
951,27661331500.00,82
952,27661339500.00,255
953,27661347500.00,30
954,27661355500.00,254
955,27661363500.00,12
956,27661371500.00,0
957,27661379500.00,88
958,27661387500.00,0
959,27661395500.00,7
960,27661403500.00,255
961,27661411500.00,110
962,27661419500.00,1
963,27661427500.00,251
964,27661435500.00,0
965,27661443500.00,95
966,27661451500.00,254
967,27661459500.00,76
968,27661467500.00,255
969,27661475500.00,168
970,27661483500.00,255
971,27661491500.00,17
972,27661499500.00,255
973,27661507500.00,41
974,27661515500.00,0
975,27661523500.00,17
976,27661531500.00,129
977,27661539500.00,224
978,27661547500.00,0
979,27661555500.00,241
980,27661563500.00,126
981,27661571500.00,18
982,27661579500.00,0
983,27661587500.00,161
984,27661595500.00,0
985,27661603500.00,23
986,27661611500.00,254
987,27661619500.00,248
988,27661627500.00,0
989,27661635500.00,235
990,27661643500.00,255
991,27661651500.00,72
992,27661659500.00,1
993,27661667500.00,229
994,27661675500.00,255
995,27661683500.00,125
996,27661691500.00,255
997,27661699500.00,230
998,27661707500.00,1
999,27661715500.00,44
1000,27661723500.00,1
1001,27661731500.00,171
1002,27661739500.00,255
1003,27661747500.00,124
1004,27661755500.00,254
1005,27661763500.00,167
1006,27661771500.00,254
1007,27661779500.00,86
1008,27661787500.00,128
1009,27661795500.00,124
1010,27661803500.00,1
1011,27661811500.00,252
1012,27661819500.00,254
1013,27661827500.00,119
1014,27661835500.00,254
1015,27661843500.00,107
1016,27661851500.00,255
1017,27661859500.00,232
1018,27661867500.00,1
1019,27661875500.00,237
1020,27661883500.00,255
1021,27661891500.00,16
1022,27661899500.00,1
1023,27661907500.00,97
